School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Marquette,3.48,2.65,6.13,1,9,1
Lee's Summit West,3.0,2.58,5.58,2,11,2
Vianney,2.56,2.82,5.38,3,6,3
Rockhurst,2.54,2.79,5.33,5,7,4
St. Dominic,2.38,2.94,5.32,6,2,5
Rock Bridge,2.24,3.07,5.31,9,1,6
Lee's Summit North,2.09,2.7,4.79,12,8,7
Lee's Summit,1.69,2.92,4.61,20,3,8
Chaminade College Prep,1.72,2.84,4.56,19,5,9
Ladue Horton Watkins,1.87,2.64,4.5,14,10,10
Francis Howell,2.12,2.33,4.46,11,17,11
Christian Brothers College,1.5,2.86,4.36,23,4,12
De Smet Jesuit,1.78,2.58,4.36,18,12,13
Rolla,2.54,1.65,4.19,4,36,14
Kirkwood,1.92,2.27,4.19,13,19,15
SLUH,1.81,2.32,4.12,16,18,16
Eureka,1.36,2.57,3.93,28,13,17
Southern Boone,2.13,1.67,3.79,10,33,18
Ft. Zumwalt South,1.78,1.98,3.77,17,22,19
Timberland,1.81,1.97,3.77,15,23,20
John Burroughs,1.34,2.34,3.69,30,16,21
Jefferson City,1.2,2.41,3.61,35,15,22
Parkway West,1.41,2.07,3.48,27,20,23
Park Hill,1.35,2.02,3.36,29,21,24
Park Hill South,1.49,1.86,3.35,25,29,25
Oakville,0.84,2.44,3.28,50,14,26
Webster Groves,1.33,1.84,3.17,31,30,27
Rockwood Summit,1.26,1.88,3.14,32,27,28
Kearney,2.3,0.79,3.09,7,75,29
Francis Howell Central,1.07,1.87,2.94,41,28,30
Smithville,1.52,1.42,2.94,22,47,31
Priory,1.19,1.61,2.81,36,38,32
Lafayette (Wildwood),0.82,1.93,2.75,52,24,33
Harrisonville,1.41,1.31,2.72,26,54,34
Francis Howell North,1.21,1.46,2.67,34,44,35
Blue Springs South,1.25,1.4,2.65,33,50,36
Mehlville,1.0,1.64,2.64,43,37,37
Parkway Central,0.66,1.88,2.54,64,26,38
Gateway,2.24,0.3,2.54,8,94,39
Northwest (Cedar Hill),1.0,1.5,2.5,44,41,40
Seckman,0.9,1.57,2.47,48,40,41
Liberty,1.06,1.41,2.47,42,49,42
Perryville,0.69,1.66,2.35,61,34,43
Ft. Zumwalt West,0.67,1.65,2.32,63,35,44
Kickapoo,1.1,1.2,2.3,39,61,45
St. Francis Borgia,0.84,1.45,2.29,51,46,46
Sacred Heart,1.65,0.62,2.27,21,84,47
Carthage,0.59,1.67,2.26,66,32,48
Glendale,0.81,1.45,2.26,53,45,49
Duchesne,0.67,1.58,2.25,62,39,50
Affton,0.98,1.23,2.2,45,58,51
Springfield Catholic,0.19,1.92,2.12,91,25,52
Principia,0.4,1.71,2.12,70,31,53
St. Pius X (Kansas City),1.19,0.93,2.12,38,69,54
Troy Buchanan,0.76,1.26,2.02,56,55,55
Staley,0.75,1.21,1.96,57,60,56
Lindbergh,0.72,1.22,1.94,60,59,57
Fox,0.96,0.98,1.94,46,67,58
St. Pius X (Festus),1.09,0.76,1.85,40,76,59
St. Charles West,1.19,0.64,1.83,37,78,60
McCluer North,0.75,1.06,1.81,58,65,61
Fort Osage,1.5,0.3,1.8,24,95,62
Ft. Zumwalt East,0.31,1.48,1.78,76,42,63
Liberty North,0.49,1.25,1.74,68,56,64
Clayton,0.21,1.42,1.63,87,48,65
Whitfield,0.22,1.4,1.62,86,51,66
Joplin,0.25,1.32,1.56,84,52,67
Holt,0.63,0.91,1.54,65,70,68
Parkway South,0.8,0.64,1.45,54,77,69
Raymore-Peculiar,0.95,0.48,1.43,47,86,70
Notre Dame (Cape Girardeau),-0.05,1.47,1.43,101,43,71
Parkway North,0.11,1.24,1.35,94,57,72
Grain Valley,0.73,0.62,1.35,59,82,73
Soldan International Studies,0.02,1.31,1.33,96,53,74
Oak Park,0.24,1.05,1.29,85,66,75
Bayless,0.79,0.44,1.23,55,88,76
MICDS,0.21,0.98,1.18,89,68,77
Helias Catholic,-0.03,1.16,1.13,98,63,78
John F. Kennedy,-0.11,1.19,1.09,105,62,79
Farmington,0.29,0.79,1.07,78,74,80
Ft. Zumwalt North,0.26,0.8,1.06,80,73,81
Blue Springs,0.38,0.63,1.01,71,80,82
Chillicothe,0.56,0.39,0.95,67,90,83
Sikeston,-0.03,0.9,0.87,99,71,84
Westminster Christian Academy,0.21,0.61,0.82,88,85,85
North Kansas City,-0.28,1.1,0.82,114,64,86
Trinity Catholic,0.26,0.47,0.73,81,87,87
Hickman,0.28,0.43,0.72,79,89,88
St. Paul Lutheran (Concordia),0.29,0.39,0.68,77,91,89
Lutheran South,-0.15,0.82,0.67,110,72,90
Jackson,0.02,0.62,0.64,97,83,91
Cristo Rey,0.36,0.22,0.57,73,102,92
Warrensburg,0.2,0.33,0.53,90,93,93
Lutheran St. Charles,0.25,0.13,0.39,83,108,94
Ritenour,0.26,0.12,0.38,82,112,95
Crossroads College Preparatory,0.32,0.04,0.35,75,114,96
Laquey,0.89,-0.73,0.16,49,140,97
Barstow,-0.11,0.26,0.15,106,97,98
Hannibal,-0.21,0.36,0.14,112,92,99
Pacific,0.33,-0.21,0.12,74,123,100
Central (Cape Girardeau),-0.04,0.15,0.1,100,105,101
Pembroke Hill,0.45,-0.41,0.04,69,131,102
Bishop LeBlond,-0.14,0.18,0.04,109,103,103
Nixa,-0.14,0.12,-0.01,108,109,104
Marshall,-0.34,0.14,-0.19,117,106,105
Fatima,0.1,-0.3,-0.2,95,125,106
Branson,0.15,-0.35,-0.2,92,129,107
Excelsior Springs,-0.82,0.63,-0.2,139,81,108
Veritas Christian Academy,-0.43,0.23,-0.2,122,100,109
Pattonville,-0.22,-0.03,-0.25,113,118,110
Belton,-0.95,0.64,-0.32,148,79,111
Central (St. Joseph),-0.5,0.12,-0.38,124,111,112
Savannah,-0.55,0.17,-0.38,126,104,113
Central (Springfield),-0.09,-0.3,-0.38,104,126,114
Raytown,-0.43,0.06,-0.38,121,113,115
Waynesville,0.13,-0.52,-0.39,93,134,116
Raytown South,-0.37,-0.07,-0.44,119,120,117
Bolivar,-0.34,-0.1,-0.44,116,121,118
Moberly,-0.7,0.23,-0.47,130,99,119
Poplar Bluff,-0.5,0.02,-0.48,125,115,120
Hazelwood West,-0.08,-0.46,-0.54,103,133,121
Pleasant Hill,-0.89,0.25,-0.64,143,98,122
Union,-0.7,0.01,-0.69,131,117,123
Hazelwood Central,-0.92,0.22,-0.7,145,101,124
Lincoln College Prep,-0.13,-0.58,-0.71,107,137,125
Carl Junction,-0.85,0.12,-0.73,141,110,126
East (Kansas City),-0.06,-0.75,-0.81,102,141,127
St. Charles,-0.7,-0.12,-0.83,132,122,128
Mexico,-0.62,-0.27,-0.89,128,124,129
Bishop DuBourg,-0.61,-0.32,-0.93,127,127,130
Winnetonka,-1.25,0.29,-0.96,163,96,131
Van Horn,-0.93,-0.03,-0.96,146,119,132
Hillsboro,-1.18,0.14,-1.05,159,107,133
Missouri Military Academy,-0.16,-1.0,-1.17,111,148,134
Clinton,-1.19,0.01,-1.18,160,116,135
Greenwood,-0.8,-0.39,-1.19,137,130,136
Platte County,-0.89,-0.35,-1.24,144,128,137
Parkview,-0.4,-0.85,-1.25,120,144,138
Washington,-0.68,-0.71,-1.38,129,139,139
Maryville,-0.33,-1.17,-1.5,115,156,140
Monett,0.37,-1.91,-1.54,72,173,141
Neosho,-1.17,-0.42,-1.59,157,132,142
William Chrisman,-0.84,-0.82,-1.67,140,143,143
Canton,-0.86,-0.81,-1.67,142,142,144
O'Hara,-0.74,-0.95,-1.69,135,146,145
Windsor (Imperial),-1.26,-0.56,-1.82,164,136,146
Ozark,-0.8,-1.04,-1.84,138,150,147
Lutheran (Kansas City),-0.72,-1.21,-1.94,133,158,148
Battle,-1.0,-0.99,-1.99,153,147,149
Brentwood,-1.56,-0.52,-2.08,169,135,150
Republic,-1.17,-1.01,-2.18,158,149,151
Fulton,-0.8,-1.38,-2.18,136,161,152
Boonville,-1.0,-1.32,-2.32,151,160,153
North County,-0.73,-1.61,-2.34,134,167,154
Camdenton,-1.22,-1.14,-2.35,161,155,155
Center,-1.26,-1.19,-2.45,165,157,156
Kirksville,-1.58,-0.9,-2.48,171,145,157
Willard,-1.25,-1.26,-2.51,162,159,158
McCluer,-1.0,-1.53,-2.53,152,165,159
Guadalupe Centers Charter,-0.97,-1.6,-2.58,150,166,160
