School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Southern Boone,2.13,1.67,3.79,1,4,1
John Burroughs,1.34,2.34,3.69,3,1,2
Sacred Heart,1.65,0.62,2.27,2,10,3
Springfield Catholic,0.19,1.92,2.12,18,2,4
Principia,0.4,1.71,2.12,10,3,5
St. Pius X (Kansas City),1.19,0.93,2.12,4,8,6
St. Pius X (Festus),1.09,0.76,1.85,5,9,7
Whitfield,0.22,1.4,1.62,17,5,8
Soldan International Studies,0.02,1.31,1.33,20,6,9
Bayless,0.79,0.44,1.23,7,12,10
John F. Kennedy,-0.11,1.19,1.09,21,7,11
Chillicothe,0.56,0.39,0.95,8,13,12
Trinity Catholic,0.26,0.47,0.73,15,11,13
St. Paul Lutheran (Concordia),0.29,0.39,0.68,14,14,14
Cristo Rey,0.36,0.22,0.57,12,17,15
Lutheran St. Charles,0.25,0.13,0.39,16,19,16
Crossroads College Preparatory,0.32,0.04,0.35,13,20,17
Laquey,0.89,-0.73,0.16,6,28,18
Barstow,-0.11,0.26,0.15,22,15,19
Pembroke Hill,0.45,-0.41,0.04,9,24,20
Bishop LeBlond,-0.14,0.18,0.04,24,18,21
Fatima,0.1,-0.3,-0.2,19,22,22
Veritas Christian Academy,-0.43,0.23,-0.2,28,16,23
Lincoln College Prep,-0.13,-0.58,-0.71,23,26,24
Missouri Military Academy,-0.16,-1.0,-1.17,25,31,25
Clinton,-1.19,0.01,-1.18,40,21,26
Greenwood,-0.8,-0.39,-1.19,33,23,27
Maryville,-0.33,-1.17,-1.5,26,32,28
Monett,0.37,-1.91,-1.54,11,42,29
Canton,-0.86,-0.81,-1.67,34,29,30
O'Hara,-0.74,-0.95,-1.69,31,30,31
Lutheran (Kansas City),-0.72,-1.21,-1.94,30,33,32
Brentwood,-1.56,-0.52,-2.08,43,25,33
Fulton,-0.8,-1.38,-2.18,32,35,34
Boonville,-1.0,-1.32,-2.32,37,34,35
Guadalupe Centers Charter,-0.97,-1.6,-2.58,36,37,36
Dixon,-1.97,-0.67,-2.64,47,27,37
Summit Christian Academy,-1.32,-1.41,-2.73,41,36,38
Lutheran North,-1.08,-1.68,-2.76,39,38,39
Holden,-0.36,-2.54,-2.9,27,51,40
The Fulton School,-0.96,-2.34,-3.3,35,48,41
Cameron,-1.04,-2.36,-3.39,38,49,42
Hancock,-2.03,-1.74,-3.77,49,40,43
Fair Grove,-2.18,-1.7,-3.88,53,39,44
Maplewood-Richmond Hts.,-2.06,-2.06,-4.12,51,44,45
Belle,-2.02,-2.13,-4.16,48,45,46
Fredericktown,-0.47,-3.84,-4.31,29,58,47
Osage,-2.67,-1.75,-4.42,56,41,48
Cole Camp,-2.34,-2.14,-4.48,55,46,49
Crocker,-1.8,-2.67,-4.48,46,53,50
Smithton,-1.79,-2.71,-4.5,44,54,51
Elsberry,-2.03,-2.62,-4.65,50,52,52
Cassville,-1.8,-2.91,-4.7,45,55,53
Valley Park,-3.02,-1.96,-4.98,59,43,54
Barat Academy,-2.68,-2.43,-5.11,57,50,55
Green Ridge,-2.9,-2.21,-5.11,58,47,56
Cleveland NJROTC,-1.54,-3.96,-5.51,42,60,57
Winfield,-2.08,-3.48,-5.56,52,57,58
Richland,-2.26,-3.46,-5.72,54,56,59
Aurora,-3.03,-3.9,-6.92,60,59,60
Iberia,-3.36,-4.23,-7.58,62,61,61
Montgomery County,-3.58,-4.25,-7.83,63,62,62
North Technical,-3.21,-5.26,-8.47,61,65,63
Lift for Life Academy Charter,-4.67,-4.4,-9.07,66,63,64
Carnahan,-4.36,-5.04,-9.4,65,64,65
Thomas Jefferson Independent Day,-3.83,-6.79,-10.62,64,66,66
Southeast,-7.03,-9.63,-16.66,67,67,67
