Date,Home Team,Home Score,Away Team,Away Score
2013-08-27,Hazelwood Central,0,Bayless,2
2013-08-28,Pattonville,0,Parkway West,2
2013-08-28,Clinton,0,St. Pius X (Kansas City),7
2013-08-29,Francis Howell Central,0,De Smet Jesuit,3
2013-08-29,McCluer,0,Hazelwood Central,1
2013-08-29,Priory,0,Ladue Horton Watkins,5
2013-08-29,Clinton,2,Marshall,1
2013-08-29,Sacred Heart,6,Osage,1
2013-08-29,Excelsior Springs,2,Platte County,1
2013-08-29,Central (Cape Girardeau),2,Sikeston,3
2013-08-29,Fulton,4,Warrenton,3
2013-08-29,Logan-Rogersville,4,Webb City,3
2013-08-29,Bayless,3,Whitfield,4
2013-08-30,Savannah,2,Belton,0
2013-08-30,Harrisonville,4,Carl Junction,0
2013-08-30,Central (Springfield),1,Carthage,5
2013-08-30,Lebanon,3,Fair Grove,2
2013-08-30,Union,6,Festus,0
2013-08-30,Parkway West,5,Fox,1
2013-08-30,Rockwood Summit,3,Francis Howell North,1
2013-08-30,Ft. Zumwalt South,2,Ft. Zumwalt North,1
2013-08-30,Eureka,4,Kickapoo,1
2013-08-30,Rock Bridge,3,Lee's Summit North,0
2013-08-30,Fair Grove,0,Marshfield,1
2013-08-30,Seckman,1,Northwest (Cedar Hill),2
2013-08-30,Grain Valley,8,Oak Grove,0
2013-08-30,Lebanon,1,Osage,1
2013-08-30,Hillcrest,0,Ozark,3
2013-08-30,Kirkwood,2,Parkway South,1
2013-08-30,Windsor (Imperial),0,Pattonville,2
2013-08-30,Pembroke Hill,0,Rockhurst,6
2013-08-30,Notre Dame (Cape Girardeau),1,Sikeston,2
2013-08-30,Battle,3,Savannah,1
2013-08-30,Lutheran St. Charles,5,St. Charles,1
2013-08-30,Bishop DuBourg,1,Washington,2
2013-08-30,Webb City,0,Waynesville,8
2013-08-30,Troy Buchanan,1,Webster Groves,2
2013-08-31,Oak Grove,1,Belton,4
2013-08-31,Staley,0,Blue Springs,1
2013-08-31,Kirksville,1,Canton,0
2013-08-31,St. Charles,1,Farmington,4
2013-08-31,McCluer North,2,Ft. Zumwalt North,1
2013-08-31,Eureka,1,Glendale,0
2013-08-31,Battle,3,Harrisonville,4
2013-08-31,Savannah,0,Harrisonville,4
2013-08-31,Southern Boone,6,Hazelwood West,2
2013-08-31,Westminster Christian Academy,2,John Burroughs,3
2013-08-31,Duchesne,0,Ladue Horton Watkins,3
2013-08-31,Raytown South,0,Liberty,4
2013-08-31,MICDS,7,Lutheran North,1
2013-08-31,Principia,3,Lutheran South,0
2013-08-31,Lebanon,1,Marshfield,0
2013-08-31,Osage,2,Marshfield,3
2013-08-31,Fair Grove,2,Osage,0
2013-08-31,Smithville,0,Park Hill,2
2013-08-31,Crossroads College Preparatory,5,Ritenour,4
2013-08-31,Rockhurst,2,Rock Bridge,3
2013-08-31,Perryville,1,Sikeston,0
2013-08-31,Grain Valley,0,Savannah,1
2013-08-31,O'Hara,3,Summit Christian Academy,0
2013-08-31,Warrenton,1,Troy Buchanan,7
2013-08-31,Liberty North,3,St. Charles,0
2013-08-31,Mehlville,0,Vianney,8
2013-08-31,Branson,2,West Plains,1
2013-09-02,Carl Junction,3,Monett,2
2013-09-02,Rockwood Summit,4,Pattonville,2
2013-09-02,Summit Christian Academy,2,Platte County,3
2013-09-02,Kearney,7,Raytown,3
2013-09-02,Staley,7,Raytown South,2
2013-09-02,Smithville,3,St. Charles,0
2013-09-03,Sacred Heart,2,Barstow,1
2013-09-03,Bishop LeBlond,6,Benton,1
2013-09-03,Liberty,2,Blue Springs,1
2013-09-03,Oak Grove,1,Boonville,2
2013-09-03,Summit Christian Academy,2,Cameron,3
2013-09-03,Cristo Rey,4,Center,2
2013-09-03,Parkview,2,Central (Springfield),3
2013-09-03,Bishop LeBlond,3,Central (St. Joseph),1
2013-09-03,Webster Groves,3,Chaminade College Prep,2
2013-09-03,Vianney,4,Clayton,0
2013-09-03,Lindbergh,1,Clayton,0
2013-09-03,Guadalupe Centers Charter,1,East (Kansas City),4
2013-09-03,Fulton,3,Fatima,1
2013-09-03,St. Charles West,3,Francis Howell,7
2013-09-03,Francis Howell Central,0,Ft. Zumwalt West,1
2013-09-03,Battle,0,Grain Valley,3
2013-09-03,Cristo Rey,7,Grandview,1
2013-09-03,Pleasant Hill,4,Grandview,1
2013-09-03,McCluer,0,Hazelwood Central,1
2013-09-03,Kirksville,0,Helias Catholic,2
2013-09-03,Timberland,3,Holt,1
2013-09-03,Veritas Christian Academy,1,John F. Kennedy,2
2013-09-03,Lebanon,2,Joplin,4
2013-09-03,Nixa,1,Kickapoo,5
2013-09-03,John Burroughs,1,Ladue Horton Watkins,0
2013-09-03,Benton,1,Lafayette (St. Joseph),2
2013-09-03,Dixon,2,Laquey,4
2013-09-03,O'Hara,0,Lee's Summit,10
2013-09-03,Branson,2,Logan-Rogersville,0
2013-09-03,Lutheran South,7,Lutheran North,0
2013-09-03,Ft. Zumwalt East,0,Marquette,6
2013-09-03,Lutheran (Kansas City),2,Maryville,1
2013-09-03,Kirkwood,2,Mehlville,0
2013-09-03,Elsberry,0,Mexico,5
2013-09-03,Principia,0,MICDS,1
2013-09-03,Cassville,2,Neosho,8
2013-09-03,Winnetonka,9,Northeast (Kansas City),0
2013-09-03,Liberty North,1,Park Hill,2
2013-09-03,Duchesne,1,Parkway North,2
2013-09-03,St. Paul Lutheran (Concordia),1,Platte County,2
2013-09-03,Westminster Christian Academy,1,Priory,2
2013-09-03,Kearney,9,Raytown,3
2013-09-03,Warrenton,0,Ritenour,4
2013-09-03,Windsor (Imperial),1,Rockwood Summit,5
2013-09-03,Rock Bridge,3,Rolla,4
2013-09-03,Van Horn,5,Savannah,2
2013-09-03,Marshall,12,Smithton,2
2013-09-03,Osage,0,Southern Boone,8
2013-09-03,Carthage,0,Springfield Catholic,1
2013-09-03,Fredericktown,3,St. Clair,2
2013-09-03,Vianney,4,Webster Groves,0
2013-09-03,Holden,6,Willard,3
2013-09-03,Belle,3,Webb City,2
2013-09-03,Winfield,3,University City,9
2013-09-03,North Technical,1,Valley Park,7
2013-09-03,St. Pius X (Kansas City),3,Warrensburg,2
2013-09-03,Hillcrest,0,Waynesville,4
2013-09-03,Camdenton,2,West Plains,1
2013-09-03,St. Dominic,3,Whitfield,0
2013-09-03,Ruskin,1,William Chrisman,11
2013-09-04,Summit Christian Academy,0,Barstow,7
2013-09-04,Bishop LeBlond,6,Benton,1
2013-09-04,Fort Osage,2,Blue Springs South,3
2013-09-04,Maplewood-Richmond Hts.,1,Brentwood,5
2013-09-04,Pleasant Hill,3,Center,1
2013-09-04,Lafayette (St. Joseph),1,Central (St. Joseph),7
2013-09-04,Oakville,0,Chaminade College Prep,1
2013-09-04,Clinton,4,Cole Camp,1
2013-09-04,McCluer North,4,Farmington,3
2013-09-04,Hancock,2,Festus,3
2013-09-04,Lafayette (Wildwood),2,Fox,1
2013-09-04,Windsor (Imperial),0,Francis Howell North,6
2013-09-04,St. Charles,0,Ft. Zumwalt North,2
2013-09-04,Ritenour,1,Ft. Zumwalt North,3
2013-09-04,Cristo Rey,7,Grandview,1
2013-09-04,Savannah,0,Harrisonville,4
2013-09-04,Parkway West,8,Hazelwood West,1
2013-09-04,O'Hara,0,Kearney,10
2013-09-04,Bishop LeBlond,5,Lafayette (St. Joseph),1
2013-09-04,Raytown,0,Lee's Summit,7
2013-09-04,Savannah,7,Northeast (Kansas City),0
2013-09-04,Bishop DuBourg,0,Northwest (Cedar Hill),6
2013-09-04,Parkway Central,1,Parkway South,2
2013-09-04,Rockwood Summit,4,Pattonville,2
2013-09-04,Cristo Rey,1,Pleasant Hill,4
2013-09-04,St. Charles,1,Raytown South,3
2013-09-04,Warrenton,0,Ritenour,4
2013-09-04,Washington,0,Seckman,5
2013-09-04,Staley,2,Smithville,3
2013-09-04,Crossroads College Preparatory,1,Troy Buchanan,4
2013-09-04,St. Francis Borgia,2,Union,0
2013-09-04,Winnetonka,1,Van Horn,1
2013-09-04,University City,0,Webster Groves,10
2013-09-04,Bayless,3,Whitfield,4
2013-09-04,Trinity Catholic,10,Winfield,0
2013-09-05,Summit Christian Academy,0,Barstow,7
2013-09-05,Waynesville,0,Battle,2
2013-09-05,Hazelwood Central,0,Bayless,2
2013-09-05,McCluer,1,Bayless,6
2013-09-05,Central (St. Joseph),5,Benton,1
2013-09-05,Liberty North,2,Blue Springs,0
2013-09-05,Sacred Heart,6,Cameron,1
2013-09-05,Webb City,0,Carthage,8
2013-09-05,Springfield Catholic,4,Cassville,0
2013-09-05,Cristo Rey,4,Center,2
2013-09-05,Grandview,0,Center,4
2013-09-05,Kirksville,3,Chillicothe,7
2013-09-05,Osage,3,Crocker,2
2013-09-05,Duchesne,1,De Smet Jesuit,2
2013-09-05,Kirkwood,1,Eureka,2
2013-09-05,Holden,1,Excelsior Springs,5
2013-09-05,Crossroads College Preparatory,1,Farmington,2
2013-09-05,North County,5,Festus,1
2013-09-05,Hazelwood West,1,Fox,2
2013-09-05,Ft. Zumwalt East,1,Francis Howell,5
2013-09-05,Timberland,4,Francis Howell Central,3
